"Region code","Region","Age","Sex","Population"
"02","Valle D'Aosta/Vallée D'Aoste","19","Males","618"
"02","Valle D'Aosta/Vallée D'Aoste","19","Females","560"
"02","Valle D'Aosta/Vallée D'Aoste","20","Total","1119"
"02","Valle D'Aosta/Vallée D'Aoste","20","Males","576"
"02","Valle D'Aosta/Vallée D'Aoste","20","Females","543"
"02","Valle D'Aosta/Vallée D'Aoste","21","Total","1211"
"02","Valle D'Aosta/Vallée D'Aoste","21","Males","637"
"02","Valle D'Aosta/Vallée D'Aoste","21","Females","574"
"02","Valle D'Aosta/Vallée D'Aoste","22","Total","1153"
"02","Valle D'Aosta/Vallée D'Aoste","22","Males","605"
"02","Valle D'Aosta/Vallée D'Aoste","22","Females","548"
"02","Valle D'Aosta/Vallée D'Aoste","23","Total","1126"
"02","Valle D'Aosta/Vallée D'Aoste","23","Males","571"
"02","Valle D'Aosta/Vallée D'Aoste","23","Females","555"
"02","Valle D'Aosta/Vallée D'Aoste","24","Total","1139"
"02","Valle D'Aosta/Vallée D'Aoste","24","Males","582"
"02","Valle D'Aosta/Vallée D'Aoste","24","Females","557"
"02","Valle D'Aosta/Vallée D'Aoste","25","Total","1225"
"02","Valle D'Aosta/Vallée D'Aoste","25","Males","643"
"02","Valle D'Aosta/Vallée D'Aoste","25","Females","582"
"02","Valle D'Aosta/Vallée D'Aoste","26","Total","1161"
"02","Valle D'Aosta/Vallée D'Aoste","26","Males","598"
"02","Valle D'Aosta/Vallée D'Aoste","26","Females","563"
"02","Valle D'Aosta/Vallée D'Aoste","27","Total","1246"
"02","Valle D'Aosta/Vallée D'Aoste","27","Males","617"
"02","Valle D'Aosta/Vallée D'Aoste","27","Females","629"
"02","Valle D'Aosta/Vallée D'Aoste","28","Total","1222"
"02","Valle D'Aosta/Vallée D'Aoste","28","Males","637"
"02","Valle D'Aosta/Vallée D'Aoste","28","Females","585"
"02","Valle D'Aosta/Vallée D'Aoste","29","Total","1294"
"02","Valle D'Aosta/Vallée D'Aoste","29","Males","666"
"02","Valle D'Aosta/Vallée D'Aoste","29","Females","628"
"02","Valle D'Aosta/Vallée D'Aoste","30","Total","1244"
"02","Valle D'Aosta/Vallée D'Aoste","30","Males","630"
"02","Valle D'Aosta/Vallée D'Aoste","30","Females","614"
"02","Valle D'Aosta/Vallée D'Aoste","31","Total","1245"
"02","Valle D'Aosta/Vallée D'Aoste","31","Males","601"
"02","Valle D'Aosta/Vallée D'Aoste","31","Females","644"
"02","Valle D'Aosta/Vallée D'Aoste","32","Total","1280"
"02","Valle D'Aosta/Vallée D'Aoste","32","Males","652"
"02","Valle D'Aosta/Vallée D'Aoste","32","Females","628"
"02","Valle D'Aosta/Vallée D'Aoste","33","Total","1315"
"02","Valle D'Aosta/Vallée D'Aoste","33","Males","660"
"02","Valle D'Aosta/Vallée D'Aoste","33","Females","655"
"02","Valle D'Aosta/Vallée D'Aoste","34","Total","1399"
"02","Valle D'Aosta/Vallée D'Aoste","34","Males","709"
"02","Valle D'Aosta/Vallée D'Aoste","34","Females","690"
"02","Valle D'Aosta/Vallée D'Aoste","35","Total","1392"
"02","Valle D'Aosta/Vallée D'Aoste","35","Males","673"
"02","Valle D'Aosta/Vallée D'Aoste","35","Females","719"
"02","Valle D'Aosta/Vallée D'Aoste","36","Total","1334"
"02","Valle D'Aosta/Vallée D'Aoste","36","Males","669"
"02","Valle D'Aosta/Vallée D'Aoste","36","Females","665"
"02","Valle D'Aosta/Vallée D'Aoste","37","Total","1457"
"02","Valle D'Aosta/Vallée D'Aoste","37","Males","772"
"02","Valle D'Aosta/Vallée D'Aoste","37","Females","685"
"02","Valle D'Aosta/Vallée D'Aoste","38","Total","1432"
