ITTER107,Region,Age,Males_value,Females_value,Population_value
ITC3,Liguria,97,220,893,1113
ITC3,Liguria,98,137,664,801
ITC3,Liguria,99,49,300,349
ITC3,Liguria,100 and over,78,570,648
ITC3,Liguria,Total,733543,799437,1532980
ITC4,Lombardia,0,38643,36462,75105
ITC4,Lombardia,1,40748,38368,79116
ITC4,Lombardia,2,41883,39992,81875
ITC4,Lombardia,3,43644,41051,84695
ITC4,Lombardia,4,44503,42358,86861
ITC4,Lombardia,5,45611,42922,88533
ITC4,Lombardia,6,47314,44601,91915
ITC4,Lombardia,7,48372,45415,93787
ITC4,Lombardia,8,49952,46511,96463
ITC4,Lombardia,9,50774,47918,98692
ITC4,Lombardia,10,50685,47948,98633
ITC4,Lombardia,11,50215,47226,97441
ITC4,Lombardia,12,50489,47300,97789
ITC4,Lombardia,13,49305,46158,95463
ITC4,Lombardia,14,49024,46754,95778
ITC4,Lombardia,15,48457,45255,93712
ITC4,Lombardia,16,47811,44657,92468
ITC4,Lombardia,17,48347,45187,93534
ITC4,Lombardia,18,49566,45632,95198
ITC4,Lombardia,19,49538,44933,94471
ITC4,Lombardia,20,50850,44754,95604
ITC4,Lombardia,21,50216,44876,95092
ITC4,Lombardia,22,49525,44914,94439
ITC4,Lombardia,23,48715,44610,93325
ITC4,Lombardia,24,48781,45378,94159
ITC4,Lombardia,25,49448,46560,96008
ITC4,Lombardia,26,51158,48344,99502
ITC4,Lombardia,27,51535,49190,100725
ITC4,Lombardia,28,53019,50973,103992
ITC4,Lombardia,29,53270,51916,105186
ITC4,Lombardia,30,55515,53251,108766
ITC4,Lombardia,31,54375,52893,107268
ITC4,Lombardia,32,54955,53567,108522
ITC4,Lombardia,33,56752,55676,112428
ITC4,Lombardia,34,58414,56924,115338
ITC4,Lombardia,35,59784,58770,118554
ITC4,Lombardia,36,62309,61000,123309
ITC4,Lombardia,37,62898,61407,124305
ITC4,Lombardia,38,64208,62848,127056
ITC4,Lombardia,39,65930,64453,130383
ITC4,Lombardia,40,69969,67883,137852
ITC4,Lombardia,41,72933,70872,143805
ITC4,Lombardia,42,75778,73595,149373
ITC4,Lombardia,43,80575,78582,159157
ITC4,Lombardia,44,83326,80789,164115
ITC4,Lombardia,45,82882,81172,164054
ITC4,Lombardia,46,84016,81532,165548
ITC4,Lombardia,47,84284,81254,165538
ITC4,Lombardia,48,83234,80899,164133
ITC4,Lombardia,49,84965,83398,168363
ITC4,Lombardia,50,84721,82786,167507
ITC4,Lombardia,51,83986,83025,167011
ITC4,Lombardia,52,85850,84179,170029
ITC4,Lombardia,53,84689,83850,168539
ITC4,Lombardia,54,84021,83241,167262
ITC4,Lombardia,55,77674,78643,156317
ITC4,Lombardia,56,73451,74848,148299
ITC4,Lombardia,57,70905,72700,143605
ITC4,Lombardia,58,68154,70372,138526
ITC4,Lombardia,59,65673,68850,134523
ITC4,Lombardia,60,62643,65384,128027
ITC4,Lombardia,61,61057,64299,125356
ITC4,Lombardia,62,59841,63274,123115
ITC4,Lombardia,63,57275,62137,119412
ITC4,Lombardia,64,56219,60549,116768
ITC4,Lombardia,65,54231,58398,112629
ITC4,Lombardia,66,53512,58479,111991
ITC4,Lombardia,67,52471,58171,110642
ITC4,Lombardia,68,54643,60287,114930
ITC4,Lombardia,69,54758,60873,115631
ITC4,Lombardia,70,56140,63058,119198
ITC4,Lombardia,71,54010,61045,115055
ITC4,Lombardia,72,54953,62833,117786
ITC4,Lombardia,73,40057,46284,86341
ITC4,Lombardia,74,41828,49739,91567
ITC4,Lombardia,75,40501,49160,89661
ITC4,Lombardia,76,40597,49935,90532
ITC4,Lombardia,77,40363,51035,91398
ITC4,Lombardia,78,43231,54613,97844
ITC4,Lombardia,79,41048,52912,93960
ITC4,Lombardia,80,37972,50871,88843
ITC4,Lombardia,81,32542,45238,77780
ITC4,Lombardia,82,28028,40646,68674
ITC4,Lombardia,83,26769,40723,67492
ITC4,Lombardia,84,23271,37392,60663
ITC4,Lombardia,85,20183,34564,54747
ITC4,Lombardia,86,17807,32233,50040
ITC4,Lombardia,87,15375,29451,44826
ITC4,Lombardia,88,13205,27533,40738
ITC4,Lombardia,89,10297,23250,33547
ITC4,Lombardia,90,8074,20024,28098
ITC4,Lombardia,91,6313,16945,23258
ITC4,Lombardia,92,4710,13762,18472
ITC4,Lombardia,93,3459,11341,14800
ITC4,Lombardia,94,2444,9075,11519
ITC4,Lombardia,95,1864,6951,8815
ITC4,Lombardia,96,1150,5080,6230
ITC4,Lombardia,97,781,3871,4652
ITC4,Lombardia,98,510,2617,3127
ITC4,Lombardia,99,195,1232,1427
ITC4,Lombardia,100 and over,250,1946,2196
ITC4,Lombardia,Total,4902201,5108632,10010833
ITD3,Veneto,0,18005,17069,35074
ITD3,Veneto,1,18949,17787,36736
ITD3,Veneto,2,19574,18412,37986
ITD3,Veneto,3,20020,19083,39103
ITD3,Veneto,4,20660,19837,40497
ITD3,Veneto,5,21354,20235,41589
ITD3,Veneto,6,22457,21252,43709
ITD3,Veneto,7,22745,21673,44418
ITD3,Veneto,8,23639,22188,45827
ITD3,Veneto,9,23984,22576,46560
ITD3,Veneto,10,24404,23136,47540
ITD3,Veneto,11,24028,22946,46974
ITD3,Veneto,12,24214,22793,47007
ITD3,Veneto,13,24112,22517,46629
ITD3,Veneto,14,24377,22948,47325
ITD3,Veneto,15,23790,22569,46359
ITD3,Veneto,16,23735,22114,45849
ITD3,Veneto,17,23622,21963,45585
ITD3,Veneto,18,24609,22948,47557
ITD3,Veneto,19,24218,22742,46960
ITD3,Veneto,20,25010,22689,47699
ITD3,Veneto,21,24924,22792,47716
ITD3,Veneto,22,24742,22476,47218
ITD3,Veneto,23,24448,21975,46423
ITD3,Veneto,24,24173,22511,46684
ITD3,Veneto,25,24067,23025,47092
ITD3,Veneto,26,25194,23735,48929
ITD3,Veneto,27,24836,23934,48770
ITD3,Veneto,28,25665,24335,50000
ITD3,Veneto,29,25162,24553,49715
ITD3,Veneto,30,25623,25283,50906
ITD3,Veneto,31,24943,24315,49258
ITD3,Veneto,32,24902,24952,49854
ITD3,Veneto,33,26214,26303,52517
ITD3,Veneto,34,26230,26429,52659
ITD3,Veneto,35,27111,26695,53806
ITD3,Veneto,36,27772,28180,55952
ITD3,Veneto,37,28650,28468,57118
ITD3,Veneto,38,29790,28941,58731
ITD3,Veneto,39,30852,30474,61326
ITD3,Veneto,40,32996,32610,65606
ITD3,Veneto,41,33948,33995,67943
ITD3,Veneto,42,35874,35293,71167
ITD3,Veneto,43,37775,37049,74824
ITD3,Veneto,44,40060,39512,79572
ITD3,Veneto,45,39833,39156,78989
ITD3,Veneto,46,40748,39412,80160
ITD3,Veneto,47,40846,40356,81202
ITD3,Veneto,48,41066,40228,81294
ITD3,Veneto,49,42117,41310,83427
ITD3,Veneto,50,41402,41112,82514
ITD3,Veneto,51,41844,41299,83143
ITD3,Veneto,52,42094,41721,83815
ITD3,Veneto,53,42106,41729,83835
ITD3,Veneto,54,41968,42462,84430
ITD3,Veneto,55,39353,39687,79040
ITD3,Veneto,56,37855,38209,76064
ITD3,Veneto,57,36878,37525,74403
ITD3,Veneto,58,34693,35587,70280
ITD3,Veneto,59,34447,35322,69769
ITD3,Veneto,60,32046,33326,65372
ITD3,Veneto,61,31380,32511,63891
ITD3,Veneto,62,30489,32184,62673
ITD3,Veneto,63,29226,31064,60290
