ITTER107,Region,Age,Males_value,Females_value,Population_value
ITC4,Lombardia,77,39326,49065,88391
ITC4,Lombardia,78,38950,50014,88964
ITC4,Lombardia,79,41497,53401,94898
ITC4,Lombardia,80,39206,51554,90760
ITC4,Lombardia,81,36149,49382,85531
ITC4,Lombardia,82,30772,43613,74385
ITC4,Lombardia,83,26228,39047,65275
ITC4,Lombardia,84,24841,38863,63704
ITC4,Lombardia,85,21307,35346,56653
ITC4,Lombardia,86,18237,32392,50629
ITC4,Lombardia,87,15918,29830,45748
ITC4,Lombardia,88,13514,27035,40549
ITC4,Lombardia,89,11415,24828,36243
ITC4,Lombardia,90,8649,20681,29330
ITC4,Lombardia,91,6670,17382,24052
ITC4,Lombardia,92,5114,14465,19579
ITC4,Lombardia,93,3712,11581,15293
ITC4,Lombardia,94,2639,9290,11929
ITC4,Lombardia,95,1797,7186,8983
ITC4,Lombardia,96,1288,5346,6634
ITC4,Lombardia,97,819,3805,4624
ITC4,Lombardia,98,536,2792,3328
ITC4,Lombardia,99,312,1781,2093
ITC4,Lombardia,100 and over,248,2070,2318
ITC4,Lombardia,Total,4912375,5115227,10027602
ITD3,Veneto,0,17170,16105,33275
ITD3,Veneto,1,18182,17210,35392
ITD3,Veneto,2,19045,17886,36931
ITD3,Veneto,3,19652,18490,38142
ITD3,Veneto,4,20104,19164,39268
ITD3,Veneto,5,20775,19858,40633
ITD3,Veneto,6,21386,20228,41614
ITD3,Veneto,7,22410,21227,43637
ITD3,Veneto,8,22759,21680,44439
ITD3,Veneto,9,23631,22217,45848
ITD3,Veneto,10,23970,22523,46493
ITD3,Veneto,11,24379,23060,47439
ITD3,Veneto,12,24026,22912,46938
ITD3,Veneto,13,24202,22806,47008
ITD3,Veneto,14,24155,22562,46717
ITD3,Veneto,15,24434,22903,47337
ITD3,Veneto,16,23878,22581,46459
ITD3,Veneto,17,23819,22130,45949
ITD3,Veneto,18,23861,22057,45918
ITD3,Veneto,19,24839,23085,47924
ITD3,Veneto,20,24410,22854,47264
ITD3,Veneto,21,25119,22889,48008
ITD3,Veneto,22,25065,22951,48016
ITD3,Veneto,23,24876,22692,47568
ITD3,Veneto,24,24671,22235,46906
ITD3,Veneto,25,24364,22720,47084
ITD3,Veneto,26,24207,23235,47442
ITD3,Veneto,27,25406,23932,49338
ITD3,Veneto,28,25042,24193,49235
ITD3,Veneto,29,25868,24497,50365
ITD3,Veneto,30,25379,24753,50132
ITD3,Veneto,31,25784,25478,51262
ITD3,Veneto,32,25123,24462,49585
ITD3,Veneto,33,25022,25089,50111
ITD3,Veneto,34,26320,26407,52727
ITD3,Veneto,35,26351,26461,52812
ITD3,Veneto,36,27223,26760,53983
